,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
55,55,35,230000,False,substation,False,transmission,0.0,-66.1388,-20.048,BO,POINT (-66.1388 -20.048),False
56,56,36,69000,False,substation,False,transmission,0.0,-66.2286,-20.9361,BO,POINT (-66.2286 -20.9361),True
57,57,36,115000,False,substation,False,transmission,0.0,-66.2276,-20.9351,BO,POINT (-66.2276 -20.9351),False
58,58,37,230000,False,substation,False,transmission,0.0,-64.5258,-17.2106,BO,POINT (-64.5258 -17.2106),True
59,59,38,115000,False,substation,False,transmission,0.0,-68.1393,-16.1851,BO,POINT (-68.1393 -16.1851),True
60,60,39,230000,False,substation,False,transmission,0.0,-65.9073,-19.7439,BO,POINT (-65.9073 -19.7439),True
61,61,40,230000,False,substation,False,transmission,0.0,-65.6431,-17.6384,BO,POINT (-65.6431 -17.6384),True
62,62,41,230000,False,substation,False,transmission,0.0,-63.1359,-17.7271,BO,POINT (-63.1359 -17.7271),True
63,63,42,230000,False,substation,False,transmission,0.0,-65.1618,-16.9996,BO,POINT (-65.1618 -16.9996),True
64,64,43,230000,False,substation,False,transmission,0.0,-65.7616,-17.1678,BO,POINT (-65.7616 -17.1678),True
65,65,44,230000,False,substation,False,transmission,0.0,-66.0149,-17.453,BO,POINT (-66.0149 -17.453),True
66,66,45,132000,False,substation,False,transmission,0.0,-63.5614,-21.6919,BO,POINT (-63.5614 -21.6919),True
67,67,45,230000,False,substation,False,transmission,0.0,-63.5604,-21.6909,BO,POINT (-63.5604 -21.6909),False
68,68,46,115000,False,substation,False,transmission,0.0,-65.1991,-19.0623,BO,POINT (-65.1991 -19.0623),True
69,69,47,230000,False,substation,False,transmission,0.0,-67.9219,-16.5744,BO,POINT (-67.9219 -16.5744),True
70,70,48,115000,False,substation,False,transmission,0.0,-66.2632,-17.3142,BO,POINT (-66.2632 -17.3142),True
71,71,49,115000,False,substation,False,transmission,0.0,-67.2394,-15.5077,BO,POINT (-67.2394 -15.5077),True
72,72,50,230000,False,substation,False,transmission,0.0,-65.9759,-17.6544,BO,POINT (-65.9759 -17.6544),True
73,73,51,230000,False,substation,False,transmission,0.0,-65.7698,-17.6204,BO,POINT (-65.7698 -17.6204),True
74,74,52,115000,False,substation,False,transmission,0.0,-65.6305,-15.0006,BO,POINT (-65.6305 -15.0006),True
75,75,53,230000,False,substation,False,transmission,0.0,-65.2106,-21.1577,BO,POINT (-65.2106 -21.1577),True
76,76,54,115000,False,substation,False,transmission,0.0,-67.4972,-14.4439,BO,POINT (-67.4972 -14.4439),True
77,77,55,115000,False,substation,False,transmission,0.0,-67.5594,-15.8542,BO,POINT (-67.5594 -15.8542),True
78,78,56,115000,False,substation,False,transmission,0.0,-68.0957,-16.4503,BO,POINT (-68.0957 -16.4503),True
79,79,57,115000,False,substation,False,transmission,0.0,-67.2765,-17.3964,BO,POINT (-67.2765 -17.3964),True
80,80,58,115000,False,substation,False,transmission,0.0,-68.1528,-16.3698,BO,POINT (-68.1528 -16.3698),True
81,81,59,115000,False,substation,False,transmission,0.0,-68.1598,-16.4533,BO,POINT (-68.1598 -16.4533),True
82,82,60,115000,False,substation,False,transmission,0.0,-68.0915,-16.5278,BO,POINT (-68.0915 -16.5278),True
83,83,61,230000,False,substation,False,transmission,0.0,-65.3677,-21.408,BO,POINT (-65.3677 -21.408),True
84,84,62,230000,False,substation,False,transmission,0.0,-65.019,-21.3559,BO,POINT (-65.019 -21.3559),True
85,85,63,230000,False,substation,False,transmission,0.0,-65.2604,-21.313,BO,POINT (-65.2604 -21.313),True
86,86,64,115000,False,substation,False,transmission,0.0,-66.2329,-17.408,BO,POINT (-66.2329 -17.408),True
87,87,65,115000,False,substation,False,transmission,0.0,-68.1467,-16.5335,BO,POINT (-68.1467 -16.5335),True
88,88,66,115000,False,substation,False,transmission,0.0,-67.4553,-17.7977,BO,POINT (-67.4553 -17.7977),True
89,89,67,230000,False,substation,False,transmission,0.0,-67.0221,-17.814,BO,POINT (-67.0221 -17.814),True
90,90,68,69000,False,substation,False,transmission,0.0,-67.1096,-17.9835,BO,POINT (-67.1096 -17.9835),True
91,91,69,115000,False,substation,False,transmission,0.0,-66.3071,-17.9098,BO,POINT (-66.3071 -17.9098),True
92,92,70,69000,False,substation,False,transmission,0.0,-65.7442,-19.6319,BO,POINT (-65.7442 -19.6319),True
93,93,71,230000,False,substation,False,transmission,0.0,-63.1524,-17.7882,BO,POINT (-63.1524 -17.7882),True
94,94,72,115000,False,substation,False,transmission,0.0,-67.5883,-15.9571,BO,POINT (-67.5883 -15.9571),True
95,95,73,230000,False,substation,False,transmission,0.0,-65.7848,-17.1041,BO,POINT (-65.7848 -17.1041),True
96,96,74,115000,False,substation,False,transmission,0.0,-67.1949,-17.7762,BO,POINT (-67.1949 -17.7762),True
97,97,75,115000,False,substation,False,transmission,0.0,-67.1159,-21.0861,BO,POINT (-67.1159 -21.0861),True
98,98,76,230000,False,substation,False,transmission,0.0,-67.2107,-21.1267,BO,POINT (-67.2107 -21.1267),True
99,99,77,132000,False,substation,False,transmission,0.0,-63.6565,-21.9992,BO,POINT (-63.6565 -21.9992),True
100,100,78,230000,False,substation,False,transmission,0.0,-63.1203,-18.1,BO,POINT (-63.1203 -18.1),True
101,101,79,230000,False,substation,False,transmission,0.0,-62.6714,-16.8695,BO,POINT (-62.6714 -16.8695),True
102,102,80,230000,False,substation,False,transmission,0.0,-64.5716,-21.6177,BO,POINT (-64.5716 -21.6177),True
103,103,81,230000,False,substation,False,transmission,0.0,-65.3106,-21.3888,BO,POINT (-65.3106 -21.3888),True
